,billboard_name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,explicit_False,explicit_True,num_bars,mean_bar_duration,var_bar_duration,num_beats,mean_beat_duration,var_beat_duration,num_sections,mean_section_duration,var_section_duration,mean_section_tempo,var_section_tempo,mean_section_loudness,var_section_loudness,num_segments,mean_segment_duration,var_segment_duration,mean_segment_loudness_start,var_segment_loudness_start,mean_segment_loudness_max,var_segment_loudness_max,mean_segment_loudness_max_time,var_segment_loudness_max_time,mean_segment_loudness_end,var_segment_loudness_end,mean_segment_loudness_start_max_diff,var_segment_loudness_start_max_diff,mean_segment_loudness_start_end_diff,var_segment_loudness_start_end_diff,mean_segment_loudness_max_end_diff,var_segment_loudness_max_end_diff,mean_segment_num_pitches,var_segment_num_pitches,mean_segment_num_pure_pitches,var_segment_num_pure_pitches,mean_segment_timbre,var_segment_timbre,num_tatums,mean_tatum_duration,var_tatum_duration
250,Safaera,295176.0,0.607,0.829,2.0,-4.074,1.0,0.379,0.0103,0.0,0.107,0.685,96.172,4.0,295.2185034013605,0.4269748032093048,0.0950009748339653,0.3458872139453888,0.0241334158927202,2411.8065221669085,914233.096338652,2582.44361044418,352975.6668408537,5458.736596518005,5458.736596518005,0.0858864930103871,0.0041793178171329,3.183782973792404e-05,0.0960170179605484,-7.814339187461883e-05,0.0243039578199386,-54.61863708496094,7572.296875,80.67346954345703,1607.283203125,1.4904227256774902,688.2501831054688,10.184510231018066,490.79248046875,8.95972728729248,337.57379150390625,12.353419303894045,309.46990966796875,-3.1213912963867188,389.784912109375,17.672626495361328,177.08682250976562,-2.6067938804626465,188.5334930419922,13.05833625793457,133.75967407226562,5.520870685577393,117.05701446533205,6.266445636749268,102.49298095703124,1.868820548057556,89.72468566894531,7.834573745727539,97.0977020263672,-0.2127735167741775,84.59138488769531,1.8521291017532349,83.9686279296875,-1.3252910375595093,87.73506164550781,4.767199516296387,82.09546661376953,-3.628641128540039,97.0593490600586,5.769559383392334,103.94469451904295,0,1,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
251,Bichiyal,196500.0,0.737,0.766,10.0,-4.242,0.0,0.0458,0.31,6.63e-06,0.114,0.662,93.956,4.0,265.9845804988662,0.4067085087299347,0.0920714065432548,0.1377536654472351,0.0040733637288212,2084.396405957271,928983.798065258,2353.040536028308,446554.4363841635,4601.676538192549,4601.676538192549,0.0738384450054585,0.0027142027493697,-7.263768679877103e-07,0.0114570753648877,2.799351022986229e-05,0.0056701269932091,-128.0155029296875,7624.09765625,108.18519592285156,1805.0108642578125,2.565493583679199,612.634521484375,13.705436706542969,308.72149658203125,8.36841106414795,229.392578125,9.018770217895508,196.66964721679688,2.299513816833496,140.0797119140625,15.17019748687744,133.44271850585938,-10.202089309692385,379.07568359375,3.290367126464844,98.33159637451172,-1.2676812410354614,124.45874786376952,-0.1239183619618415,96.0106201171875,3.495969295501709,106.75402069091795,5.73289155960083,83.96675109863281,2.3670589923858643,83.18470764160156,3.326560735702514,72.30836486816406,-6.321004390716553,52.2132682800293,-2.022999048233032,66.67500305175781,-3.176201820373535,56.98439025878906,0.4205528497695923,71.62723541259766,0,1,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
252,We Should,172826.0,0.578,0.763,8.0,-7.498,0.0,0.0443,0.472,0.0,0.135,0.561,92.01,4.0,177.5629931972789,0.3454227149486542,0.0978862345218658,0.2098268121480941,0.0238410532474517,2481.458657998688,1145708.3277107545,2370.056380053059,472631.6173761913,4937.573145459835,4937.573145459835,0.1059231765674524,0.0046023231993337,1.8908373021986336e-05,0.0500230677425861,-0.0002433444315101,0.0092355096712708,-102.60212707519533,7995.5361328125,82.86843872070312,1649.1021728515625,-10.582758903503418,1269.6715087890625,-1.530726432800293,543.9077758789062,-7.644990921020508,433.0792541503906,-2.519862651824951,289.97509765625,-17.639516830444336,205.0709228515625,-0.9769659042358398,285.6541442871094,-8.62057876586914,204.80718994140625,-5.673622608184815,265.1439819335937,-8.471732139587402,196.6434936523437,4.092551231384277,134.81549072265625,-6.605741500854492,134.51168823242188,-1.1232857704162598,127.22526550292967,-5.860737323760986,122.12786865234376,1.5520353317260742,102.69200897216795,-4.363782405853272,125.982421875,2.8225326538085938,111.11791229248048,-2.8896596431732178,106.23152160644533,-2.6319313049316406,105.7115707397461,1,0,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
253,Solia,159282.0,0.71,0.81,2.0,-5.507,1.0,0.0854,0.117,0.000132,0.154,0.184,92.041,4.0,159.45142857142858,0.3656081259250641,0.0943719819188118,0.3155781924724579,0.0141861587762832,1775.7872671800626,665445.0479572164,2205.46277026731,464292.979942312,3986.0340975871127,3986.0340975871127,0.061812517284292,0.0017553955253215,-1.0553629181231372e-05,0.0768137499690055,-0.0001218869583681,0.0150959147140383,-76.91726684570312,8826.6806640625,110.2430648803711,1250.9498291015625,8.024691581726074,607.4165649414062,12.90641975402832,248.95608520507807,9.328486442565918,270.0473022460937,13.463852882385254,155.57049560546875,-1.022859811782837,191.8450622558593,14.748374938964844,195.86021423339844,-10.81540298461914,287.8207702636719,10.708895683288574,119.86305236816406,8.451769828796387,131.04135131835938,2.4957642555236816,108.4465560913086,2.181699275970459,120.23919677734376,5.290329933166504,90.89717864990234,-3.4099459648132324,84.15044403076172,3.465385913848877,94.19683074951172,-3.7838191986083984,76.46512603759766,0.8747642040252686,63.48363876342773,-1.283037781715393,85.36678314208984,0.7996542453765869,91.8895492553711,0,1,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
254,Esta Cabron Ser Yo,227939.0,0.81,0.854,10.0,-3.999,0.0,0.254,0.0732,0.0,0.123,0.879,154.083,4.0,227.97351473922905,0.426572322845459,0.0981874987483024,0.3308689892292022,0.025991067290306,2736.127530925436,1223618.7452181454,2828.156504074748,272849.54680871713,6167.576174076043,6167.576174076043,0.0971015372880596,0.0056256033805713,-5.787035661342088e-06,0.0717599987983703,-0.0005294975708238,0.0445258803665638,-58.60572052001953,6495.5654296875,73.01780700683594,1344.0404052734375,17.03388786315918,1069.218994140625,4.966671943664551,459.96136474609375,-0.3420767188072204,436.9246520996094,4.338661193847656,293.4361877441406,-2.723129749298096,305.8031005859375,8.413646697998047,368.0912170410156,-14.520925521850586,327.7295227050781,4.880890369415283,198.6097717285156,-1.968562722206116,174.65586853027344,2.674536943435669,170.0074920654297,3.0407910346984863,164.62991333007812,1.021637201309204,126.97921752929688,-3.3360986709594727,125.0285186767578,6.006726264953613,112.94380950927734,-6.3661208152771,95.03218841552734,1.0265828371047974,75.83460235595703,-2.2525904178619385,88.56218719482422,2.8285133838653564,89.8514404296875,0,1,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
255,Sunday Best,158571.0,0.878,0.525,5.0,-6.832,1.0,0.0578,0.183,0.0,0.0714,0.694,112.022,4.0,159.66040816326532,0.4561968147754669,0.0848420560359954,0.2656333148479461,0.0201006662100553,1879.4304591556145,944144.0937637124,2141.16879121733,492288.7781055843,3780.642421046454,3780.642421046454,0.0744679611549933,0.0040402744816159,3.5710763768292964e-06,0.0565949194133281,-0.0001169998577097,0.0135798761621117,-98.82184600830078,11613.9736328125,112.13062286376952,1964.1234130859373,-0.224946841597557,1166.723876953125,21.46054458618164,553.7974853515625,20.66801071166992,294.97039794921875,-4.029582977294922,371.3743896484375,-2.5990912914276123,232.85964965820312,5.76911735534668,161.49838256835938,-7.359267234802246,260.98291015625,8.538456916809082,173.8404541015625,-1.782843828201294,146.40025329589844,0.7634751200675964,133.77565002441406,1.9374107122421265,106.65747833251952,0.6625686883926392,130.22039794921875,-0.8506165146827698,92.7455825805664,10.246332168579102,88.57875061035156,-6.064213275909424,99.02008819580078,6.652316570281982,76.78939056396484,-4.178481578826904,55.62956237792969,-1.907016396522522,69.74343872070312,1,0,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
256,Can't Explain,165733.0,0.432,0.984,9.0,-6.607,1.0,0.274,0.049,2.06e-06,0.399,0.371,126.984,4.0,182.3695238095238,0.577305018901825,0.0708964616060257,0.3629144430160522,0.0175159331411123,1671.311858335598,1366300.2466198115,2268.198463718453,689750.1171790011,3554.3484570639826,3554.3484570639826,0.02277466622889,0.0005892718715207,-0.0007602873956784,0.126458540558815,-0.003374523948878,0.0124496463686227,-144.29644775390625,10125.427734375,101.50579833984376,1660.76708984375,27.47502899169922,870.72607421875,19.50752830505371,485.85650634765625,18.931861877441406,337.9341735839844,21.85112571716309,188.753646850586,6.918470859527588,215.73545837402344,12.22654914855957,197.40611267089844,18.5803451538086,205.50631713867188,9.632776260375977,129.24725341796875,0.1220110952854156,84.65184783935547,13.148163795471191,102.9115219116211,4.13838529586792,84.25365447998047,11.810572624206545,95.70281219482422,2.7678592205047607,59.94121170043945,6.561822891235352,55.24310302734375,1.9901268482208248,58.57548141479492,8.667247772216797,69.77220916748047,1.7168153524398804,49.43314743041992,5.581395626068115,60.81954193115234,1,0,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
257,Baby Pluto,210261.0,0.772,0.634,10.0,-6.101,0.0,0.212,0.135,0.0,0.432,0.671,160.052,4.0,210.34956916099773,0.4076652228832245,0.0881545022130012,0.2183704227209091,0.0155007513239979,2426.6747174749803,1087527.900651859,2607.6873476426013,332839.2740024967,5348.999325311534,5348.999325311534,0.100300666537867,0.0045956652017783,7.04356989444932e-06,0.0251976791769266,0.0006312920013442,0.0220311023294925,-79.38153839111328,6526.103515625,93.7499771118164,1262.255859375,6.491304874420166,933.2584228515624,1.258550047874451,479.1300048828125,1.904582142829895,347.8661804199219,6.305369853973389,255.1201171875,-10.418127059936523,265.39630126953125,5.724615097045898,205.69696044921875,-8.22214412689209,159.45323181152344,2.6807336807250977,214.31130981445312,-0.3961651623249054,176.55723571777344,6.996876239776611,149.44796752929688,-3.414296388626098,120.66351318359376,3.699603796005249,109.17642211914062,-3.32236647605896,89.04608917236328,0.2182589769363403,76.21351623535156,-7.414750099182129,78.68778991699219,0.966884434223175,67.38480377197266,-5.082442760467529,70.23640441894531,-0.3946269452571869,74.59699249267578,0,1,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
258,Lo Mein,195299.0,0.855,0.676,1.0,-5.736,1.0,0.325,0.0888,0.0,0.144,0.509,133.082,4.0,195.41913832199543,0.4448510706424713,0.0898788422346115,0.2645991444587707,0.0139888618141412,2410.8195274350537,1317315.249864713,2630.8859734305925,405994.6997282898,5303.484102017471,5303.484102017471,0.0730351293231518,0.0041020039220883,-1.4339796507556455e-05,0.0554702319204807,-0.0001454650046071,0.0156237538903951,-90.95178985595705,7926.1533203125,90.65760803222656,1565.5977783203125,16.53510284423828,908.7732543945312,0.9115873575210572,448.250732421875,9.140854835510254,254.72311401367188,14.528334617614746,298.7226257324219,-4.6119489669799805,203.79156494140625,16.495319366455078,178.92648315429688,-7.090354919433594,141.606201171875,11.357175827026367,130.02122497558594,6.065445423126221,136.33224487304688,12.573784828186035,132.87928771972656,5.328713417053223,92.23545837402344,5.382184028625488,78.80599975585938,1.4002432823181152,63.686771392822266,3.258228778839112,61.07186126708984,-1.0946660041809082,70.6644058227539,5.336549282073975,62.33241653442383,1.082575798034668,81.9016342163086,6.23636531829834,78.48956298828125,0,1,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
259,Silly Watch,195692.0,0.903,0.535,8.0,-6.238,1.0,0.286,0.0298,0.0,0.0851,0.157,130.117,4.0,195.8138775510204,0.5007690787315369,0.0798177644610405,0.3513042330741882,0.0078249424695968,2235.514437725692,1116028.665132919,2686.1439064022484,427461.4762730925,5145.55611584219,5145.55611584219,0.0500763500679185,0.0013010017535254,-5.29161661688704e-05,0.0952149406075477,-0.0028909833636134,0.0175712574273347,-69.80769348144531,5692.78173828125,96.46311950683594,1322.939453125,29.174461364746094,980.5411376953124,7.9182634353637695,547.7584228515625,12.867677688598633,294.183837890625,18.745325088500977,186.13800048828125,-2.1841726303100586,190.7451934814453,19.63415908813477,153.46372985839844,-4.38092565536499,125.86014556884766,14.239830017089844,143.6584930419922,5.170930862426758,95.43405151367188,12.628230094909668,96.8797378540039,3.66615629196167,80.21807098388672,5.039474487304688,102.67603302001952,7.180352210998535,76.37440490722656,3.554342031478882,66.17184448242188,-0.8510807156562805,65.13959503173828,8.317586898803711,65.01397705078125,-1.459994554519653,70.405517578125,2.5093119144439697,50.46799087524414,0,1,138,1.7186897826086958,0.06030202604995274,553,0.4312926763110308,0.0035946417733075217,10,24.110665000000004,151.87293472998505,140.64159999999998,257.0068690400001,-10.5594,68.10902764000001,802,0.3006315960099751,0.03061490520568218,-14.650856608478804,56.386725005623404,-8.115970074812967,48.02905375970299,0.06330862842892768,0.0023028317669467227,-0.07481296758104738,4.48318107474456,6.534886533665834,11.505595180392223,14.580806733167083,54.23140685915666,8.054428927680798,45.331729835971174,12.0,0.0,2.2630922693266835,2.966942058818042,1864.6659052369075,1180701.176337086,1106,0.21576326401446655,0.006160453469725957
