billboard_name,spotify_name,artist,duration_ms,spotify_id,spotify_uri,spotify_external_url,spotify_popularity,spotify_artist_popularity,spotify_artist_popularity_mean,explicit,preview_url,preview_url_audio,full_audio,full_audio_duration_s,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,audio_analysis_file
Real Baby Pluto,Real Baby Pluto,Future & Lil Uzi Vert,196636.0,1rP5gAqMlm8d6UnfseuzSm,spotify:track:1rP5gAqMlm8d6UnfseuzSm,https://open.spotify.com/track/1rP5gAqMlm8d6UnfseuzSm,54.0,"[91, 90]",90.5,True,https://p.scdn.co/mp3-preview/77282679ec4e4758ec3e6da3cb5b7174c61d8003?cid=064f7f00e33f41f2ba917f2f07083867,previews/Real Baby Pluto.wav,Future  Lil Uzi Vert  Real Baby Pluto Official Audio.wav,197.0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'melodic rap', 'philly rap']",0.898,0.567,1.0,-6.446,1.0,0.302,0.0165,0.0,0.109,0.602,141.973,4.0,Real Baby Pluto.json
Iris,Iris,Phoebe & Maggie,289533.0,6Qyc6fS4DsZjB2mRW9DsQs,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,81.0,[73],73.0,False,https://p.scdn.co/mp3-preview/5d5fa1175641497d27c64f22a81f2f41ae674842?cid=064f7f00e33f41f2ba917f2f07083867,previews/Iris.wav,Phoebe Bridgers Teenage Dirtbag Wheatus cover.wav,250.0,"['neo mellow', 'permanent wave', 'pop rock']",0.315,0.715,11.0,-8.072,0.0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3.0,Iris.json
Marni On Me,Marni On Me,Future & Lil Uzi Vert,133170.0,6NaVCCFGylOLZAgk5eTTid,spotify:track:6NaVCCFGylOLZAgk5eTTid,https://open.spotify.com/track/6NaVCCFGylOLZAgk5eTTid,51.0,"[91, 90]",90.5,True,https://p.scdn.co/mp3-preview/10792c4a47ef56d65adee16882b94d392b5c4e38?cid=064f7f00e33f41f2ba917f2f07083867,previews/Marni On Me.wav,Future  Lil Uzi Vert  Marni On Me Official Audio.wav,133.0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'melodic rap', 'philly rap']",0.759,0.52,2.0,-7.042,1.0,0.447,0.0187,0.0,0.313,0.116,123.189,4.0,Marni On Me.json
Million Dollar Play,Million Dollars Worth of Game (feat. 42 Dugg),Future & Lil Uzi Vert,159840.0,3IZWCcD1FYpyeY3ki2VUmL,spotify:track:3IZWCcD1FYpyeY3ki2VUmL,https://open.spotify.com/track/3IZWCcD1FYpyeY3ki2VUmL,71.0,"[83, 79]",81.0,True,,,Future  Lil Uzi Vert  Million Dollar Play Official Audio.wav,167.0,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'detroit trap']",0.808,0.677,2.0,-4.922,1.0,0.106,0.00407,0.0,0.132,0.46,97.009,4.0,Million Dollar Play.json
Sleeping On The Floor,sleeping on the floor,Future & Lil Uzi Vert,153802.0,2SaMMF3gwdwTjWuR44LETg,spotify:track:2SaMMF3gwdwTjWuR44LETg,https://open.spotify.com/track/2SaMMF3gwdwTjWuR44LETg,58.0,[77],77.0,True,https://p.scdn.co/mp3-preview/62a56a9960013e7118913a58d40b548be83d9301?cid=064f7f00e33f41f2ba917f2f07083867,previews/Sleeping On The Floor.wav,Future  Lil Uzi Vert  Sleeping On The Floor Official Audio.wav,168.0,['sad rap'],0.644,0.442,1.0,-9.423,1.0,0.123,0.829,0.0,0.135,0.574,142.026,4.0,Sleeping On The Floor.json
What's Your Country Song,What’s Your Country Song,Thomas Rhett,171333.0,4oR2cCQGs0Yt0Mgr2diV6V,spotify:track:4oR2cCQGs0Yt0Mgr2diV6V,https://open.spotify.com/track/4oR2cCQGs0Yt0Mgr2diV6V,71.0,[79],79.0,False,,,Thomas Rhett  Whats Your Country Song Official Video.wav,184.0,"['contemporary country', 'country', 'country road', 'modern country rock']",0.359,0.706,5.0,-6.151,1.0,0.0309,0.000602,0.0,0.285,0.479,174.079,4.0,Whats Your Country Song.json
Plastic,Plastic Hearts,Future & Lil Uzi Vert,205733.0,6qCsKKS7Ol63SJW3LOIX5R,spotify:track:6qCsKKS7Ol63SJW3LOIX5R,https://open.spotify.com/track/6qCsKKS7Ol63SJW3LOIX5R,74.0,[87],87.0,False,https://p.scdn.co/mp3-preview/3c078d4f5e9fd2bcc87272790e75c012b58bb01a?cid=064f7f00e33f41f2ba917f2f07083867,previews/Plastic.wav,Future  Lil Uzi Vert  Plastic Official Audio.wav,194.0,"['dance pop', 'pop', 'post-teen pop']",0.551,0.756,2.0,-4.948,1.0,0.0652,0.0511,0.0,0.0765,0.618,175.984,4.0,Plastic.json
Rockstar Chainz,Rockstar Chainz,Future,181040.0,0NXeZp31dd0cJ9t8FdKsTg,spotify:track:0NXeZp31dd0cJ9t8FdKsTg,https://open.spotify.com/track/0NXeZp31dd0cJ9t8FdKsTg,49.0,[91],91.0,True,https://p.scdn.co/mp3-preview/565e8475e4b42bb06e96cd09031d9ede3ba753d3?cid=064f7f00e33f41f2ba917f2f07083867,previews/Rockstar Chainz.wav,Future  Rockstar Chainz Lyrics.wav,211.0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.867,0.517,2.0,-6.914,1.0,0.307,0.0116,0.0,0.31,0.271,143.043,4.0,Rockstar Chainz.json
Bought A Bad Bitch,Bought A Bad Bitch,Future & Lil Uzi Vert,210175.0,5syD6f38Jhckk5g9DgoCta,spotify:track:5syD6f38Jhckk5g9DgoCta,https://open.spotify.com/track/5syD6f38Jhckk5g9DgoCta,48.0,"[91, 90]",90.5,True,https://p.scdn.co/mp3-preview/009170758e356bc9e07242b62b84cb6f03a73155?cid=064f7f00e33f41f2ba917f2f07083867,previews/Bought A Bad Bitch.wav,Future  Lil Uzi Vert  Bought A Bad Bitch Official Audio.wav,211.0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'melodic rap', 'philly rap']",0.866,0.72,7.0,-6.641,0.0,0.0646,0.112,0.0,0.172,0.785,136.077,4.0,Bought A Bad Bitch.json
Life Goes On,Life Goes On,BTS,247054.0,2bSk87AVkCIIC3Bcligq1z,spotify:track:2bSk87AVkCIIC3Bcligq1z,https://open.spotify.com/track/2bSk87AVkCIIC3Bcligq1z,76.0,"[93, 91, 90]",91.33333333333331,True,,,BTS 방탄소년단  Life Goes On Easy Lyrics.wav,230.0,"['atl hip hop', 'atl trap', 'rap', 'trap', 'melodic rap', 'philly rap']",0.716,0.541,1.0,-7.909,1.0,0.149,0.0021,0.0,0.115,0.387,139.978,4.0,Life Goes On.json
