billboard_name,spotify_name,artist,duration_ms,spotify_id,spotify_uri,spotify_external_url,spotify_popularity,spotify_artist_popularity,spotify_artist_popularity_mean,explicit,preview_url,preview_url_audio,full_audio,full_audio_duration_s,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,audio_analysis_file
All I Want For Christmas Is You,All I Want for Christmas Is You,Mariah Carey,241106.0,0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,69.0,[81],81.0,False,https://p.scdn.co/mp3-preview/0d3f660241b04b1e95ae43decced213696114ad0?cid=064f7f00e33f41f2ba917f2f07083867,previews/All I Want For Christmas Is You.wav,Mariah Carey  All I Want For Christmas Is You Lyrics.wav,242.0,"['dance pop', 'pop', 'urban contemporary']",0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,4.0,All I Want For Christmas Is You.json
Rockin' Around The Christmas Tree,Rockin' Around The Christmas Tree,Brenda Lee,126266.0,2EjXfH91m7f8HiJN1yQg97,spotify:track:2EjXfH91m7f8HiJN1yQg97,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,62.0,[59],59.0,False,,,Brenda Lee  Rockin Around The Christmas Tree Official Lyric Video.wav,128.0,"['adult standards', 'brill building pop', 'lounge', 'rockabilly', 'vocal jazz']",0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,4.0,Rockin Around The Christmas Tree.json
Jingle Bell Rock,Jingle Bell Rock,Bobby Helms,130973.0,7vQbuQcyTflfCIOu3Uzzya,spotify:track:7vQbuQcyTflfCIOu3Uzzya,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,62.0,[50],50.0,False,,,Bobby Helms  Jingle Bell Rock Official Lyric Video.wav,131.0,['adult standards'],0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.806,119.705,4.0,Jingle Bell Rock.json
A Holly Jolly Christmas,A Holly Jolly Christmas - Single Version,Burl Ives,135533.0,77khP2fIVhSW23NwxrRluh,spotify:track:77khP2fIVhSW23NwxrRluh,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh,54.0,[48],48.0,False,,,Burl Ives  Holly Jolly Christmas Lyrics.wav,154.0,"['adult standards', 'american folk revival', 'lounge']",0.683,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,4.0,A Holly Jolly Christmas.json
Circles,Circles,Post Malone,215280.0,21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,86.0,[91],91.0,False,,,Post Malone  Circles Lyrics.wav,215.0,"['dfw rap', 'melodic rap', 'rap']",0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,4.0,Circles.json
Roxanne,ROXANNE,Arizona Zervas,163636.0,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,80.0,[72],72.0,True,https://p.scdn.co/mp3-preview/fb038785189bb62741f4be5d5c761291fcac640a?cid=064f7f00e33f41f2ba917f2f07083867,previews/Roxanne.wav,Arizona Zervas  ROXANNE Lyrics.wav,161.0,"['pop rap', 'rhode island rap', 'social media pop']",0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,5.0,Roxanne.json
It's The Most Wonderful Time Of The Year,It's the Most Wonderful Time of the Year,Andy Williams,151933.0,5hslUAKq9I9CG2bAulFkHN,spotify:track:5hslUAKq9I9CG2bAulFkHN,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,59.0,[62],62.0,False,https://p.scdn.co/mp3-preview/75599af0839478f9d8e68ee63b766f6e193159b7?cid=064f7f00e33f41f2ba917f2f07083867,previews/Its The Most Wonderful Time Of The Year.wav,Andy Williams  Its the Most Wonderful Time of the Year Official Audio.wav,154.0,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",0.24,0.598,7.0,-8.435,1.0,0.0369,0.766,0.0,0.117,0.776,201.629,3.0,Its The Most Wonderful Time Of The Year.json
Someone You Loved,Someone You Loved,Lewis Capaldi,182160.0,7qEHsqek33rTcFNT9PFqLf,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,86.0,[82],82.0,False,,,Lewis Capaldi  Someone You Loved Lyrics.wav,182.0,"['pop', 'uk pop']",0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,4.0,Someone You Loved.json
Memories,Memories,Maroon 5,189486.0,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,86.0,[90],90.0,False,,,Maroon 5  Memories Lyrics.wav,185.0,"['pop', 'pop rock']",0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,4.0,Memories.json
Good As Hell,Good as Hell,Lizzo,159735.0,6KgBpzTuTRPebChN0VTyzV,spotify:track:6KgBpzTuTRPebChN0VTyzV,https://open.spotify.com/track/6KgBpzTuTRPebChN0VTyzV,74.0,[76],76.0,False,https://p.scdn.co/mp3-preview/dfc3d6a9e7eb030e89df2e21d350b2e7be116faa?cid=064f7f00e33f41f2ba917f2f07083867,previews/Good As Hell.wav,Lizzo  Good As Hell Lyrics.wav,155.0,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",0.682,0.919,0.0,-3.18,0.0,0.0875,0.256,0.0,0.442,0.535,95.982,4.0,Good As Hell.json
Last Christmas,Last Christmas,Wham!,262960.0,2FRnf9qhLbvw8fu4IBXx78,spotify:track:2FRnf9qhLbvw8fu4IBXx78,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,67.0,[70],70.0,False,https://p.scdn.co/mp3-preview/e0977ffe721d032577fa5ae8a82ee79540c26970?cid=064f7f00e33f41f2ba917f2f07083867,previews/Last Christmas.wav,Wham  Last Christmas Lyrics.wav,304.0,"['disco', 'europop', 'new romantic', 'new wave pop', 'soft rock']",0.735,0.478,2.0,-12.472,1.0,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4.0,Last Christmas.json
Feliz Navidad,Feliz Navidad,Jose Feliciano,201373.0,2yO49osIl1AiJpjsEsj3yn,spotify:track:2yO49osIl1AiJpjsEsj3yn,https://open.spotify.com/track/2yO49osIl1AiJpjsEsj3yn,0.0,[75],75.0,False,,,Feliz Navidad Jose Feliciano lyrics HQ.wav,190.0,"['contemporary country', 'country dawn', 'pop', 'texas country']",0.724,0.566,7.0,-5.117,1.0,0.0305,0.617,0.00023,0.234,0.873,131.174,4.0,Feliz Navidad.json
The Box,The Box,Roddy Ricch,196652.0,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,82.0,[84],84.0,True,https://p.scdn.co/mp3-preview/efbcc9db8f3ad5b8fc9b379bbf93f991e47c7358?cid=064f7f00e33f41f2ba917f2f07083867,previews/The Box.wav,Roddy Ricch  The Box Lyrics.wav,197.0,"['melodic rap', 'rap', 'trap']",0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,4.0,The Box.json
Dance Monkey,Dance Monkey,Tones And I,209438.0,2XU0oxnq2qxCpomAAuJY8K,spotify:track:2XU0oxnq2qxCpomAAuJY8K,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,80.0,[78],78.0,False,https://p.scdn.co/mp3-preview/69bd9b5e4698ed9c4cbd35f78acbb4937eba3ecc?cid=064f7f00e33f41f2ba917f2f07083867,previews/Dance Monkey.wav,Tones and I  Dance Monkey Lyrics.wav,209.0,"['australian pop', 'pop']",0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,4.0,Dance Monkey.json
"Let It Snow, Let It Snow, Let It Snow",Let It Snow,Dean Martin,133973.0,1XCoNahvbVGQWf0fON23qW,spotify:track:1XCoNahvbVGQWf0fON23qW,https://open.spotify.com/track/1XCoNahvbVGQWf0fON23qW,0.0,[77],77.0,False,,,Dean Martin  Let It Snow Lyrics.wav,121.0,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",0.507,0.87,11.0,-4.129,1.0,0.0686,0.268,0.0,0.161,0.591,119.193,4.0,Let It Snow Let It Snow Let It Snow.json
The Christmas Song (Merry Christmas To You),The Christmas Song (Merry Christmas To You),Nat King Cole,192160.0,4PS1e8f2LvuTFgUs1Cn3ON,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON,56.0,[70],70.0,False,,,Nat King Cole  The Christmas Song Merry Christmas To You Lyric Video.wav,193.0,"['adult standards', 'lounge', 'vocal jazz']",0.319,0.21,1.0,-15.231,1.0,0.0341,0.92,8.06e-05,0.138,0.209,78.696,4.0,The Christmas Song Merry Christmas To You.json
"10,000 Hours","10,000 Hours (with Justin Bieber)",Dan + Shay & Justin Bieber,167693.0,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,79.0,"[77, 96]",86.5,False,https://p.scdn.co/mp3-preview/cc200787df581ee0d68901463212f6cf76165113?cid=064f7f00e33f41f2ba917f2f07083867,previews/10000 Hours.wav,Dan  Shay Justin Bieber  10000 Hours Official Music Video.wav,176.0,"['contemporary country', 'country', 'pop', 'canadian pop']",0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,4.0,10000 Hours.json
Lose You To Love Me,Lose You To Love Me,Selena Gomez,206458.0,4l0Mvzj72xxOpRrp6h8nHi,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,81.0,[86],86.0,False,,,Selena Gomez  Lose You To Love Me Lyrics.wav,198.0,"['dance pop', 'pop', 'post-teen pop']",0.488,0.343,4.0,-8.985,1.0,0.0436,0.556,0.0,0.21,0.0978,102.819,4.0,Lose You To Love Me.json
Ballin',Ballin' (with Roddy Ricch),Mustard & Roddy Ricch,180434.0,3QzAOrNlsabgbMwlZt7TAY,spotify:track:3QzAOrNlsabgbMwlZt7TAY,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,79.0,"[78, 84]",81.0,True,,,Mustard  Ballin’ ft Roddy Ricch.wav,193.0,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'melodic rap']",0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,4.0,Ballin.json
BOP,BOP,DaBaby,159714.0,6Ozh9Ok6h4Oi1wUSLtBseN,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,78.0,[89],89.0,True,,,DaBaby  BOP on Broadway Hip Hop Musical.wav,184.0,"['north carolina hip hop', 'rap', 'trap']",0.769,0.787,11.0,-3.909,1.0,0.367,0.189,0.0,0.129,0.836,126.77,4.0,BOP.json
Sleigh Ride,Sleigh Ride,The Ronettes,159440.0,6kJ4Eyo6Z2g5WwkJ1rJjlB,spotify:track:6kJ4Eyo6Z2g5WwkJ1rJjlB,https://open.spotify.com/track/6kJ4Eyo6Z2g5WwkJ1rJjlB,0.0,[70],70.0,False,,,The Ronettes  Sleigh Ride Lyrics.wav,201.0,"['adult standards', 'folk rock', 'mellow gold', 'soft rock']",0.47,0.232,11.0,-15.662,1.0,0.195,0.872,0.0,0.104,0.551,201.262,4.0,Sleigh Ride.json
Rudolph The Red-Nosed Reindeer,Rudolph The Red-Nosed Reindeer,Gene Autry,130026.0,47otoIkhx3fkdivEXL5OB6,spotify:track:47otoIkhx3fkdivEXL5OB6,https://open.spotify.com/track/47otoIkhx3fkdivEXL5OB6,49.0,[48],48.0,False,,,Gene Autry  Rudolph the red nosed reindeer lyrics.wav,192.0,"['adult standards', 'american folk revival', 'lounge']",0.67,0.275,0.0,-12.755,1.0,0.0385,0.671,0.0,0.199,0.806,152.649,4.0,Rudolph The RedNosed Reindeer.json
Bad Guy,bad guy,Billie Eilish,194087.0,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,85.0,[92],92.0,False,,,Billie Eilish  bad guy Lyrics.wav,194.0,"['art pop', 'electropop', 'pop']",0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,4.0,Bad Guy.json
Happy Holiday / The Holiday Season,Happy Holiday / The Holiday Season,Andy Williams,156866.0,3sDdyBHQ60Cs1opmIyRvhp,spotify:track:3sDdyBHQ60Cs1opmIyRvhp,https://open.spotify.com/track/3sDdyBHQ60Cs1opmIyRvhp,48.0,[62],62.0,False,https://p.scdn.co/mp3-preview/4302a2b56a45c6950d594f008e2221a397283eae?cid=064f7f00e33f41f2ba917f2f07083867,previews/Happy Holiday  The Holiday Season.wav,Andy Williams  Happy Holiday  The Holiday Season Lyrics hell be coming down the chimney down.wav,159.0,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",0.505,0.451,9.0,-10.193,0.0,0.0329,0.727,0.0,0.233,0.744,74.347,4.0,Happy Holiday  The Holiday Season.json
No Guidance,No Guidance (feat. Drake),Chris Brown Featuring Drake,260640.0,6XHVuErjQ4XNm6nDPVCxVX,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,80.0,"[90, 98]",94.0,True,https://p.scdn.co/mp3-preview/2d163f351fe6e6d2df9c848e3864e77293c1bb57?cid=064f7f00e33f41f2ba917f2f07083867,previews/No Guidance.wav,Drake Chris Brown  No Guidance Lyrics.wav,263.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap', 'canadian hip hop', 'canadian pop', 'hip hop', 'toronto rap']",0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,4.0,No Guidance.json
Senorita,Señorita,Shawn Mendes & Camila Cabello,190960.0,33ZWR28RBD9qfeF8rQNJTY,spotify:track:33ZWR28RBD9qfeF8rQNJTY,https://open.spotify.com/track/33ZWR28RBD9qfeF8rQNJTY,4.0,"[89, 88]",88.5,False,,,Shawn Mendes Camila Cabello  Señorita.wav,205.0,"['canadian pop', 'dance pop', 'pop', 'viral pop', 'post-teen pop']",0.759,0.54,9.0,-6.039,0.0,0.0287,0.037,0.0,0.0945,0.75,116.947,4.0,Senorita.json
Bandit,Bandit (with YoungBoy Never Broke Again),Juice WRLD & YoungBoy Never Broke Again,189322.0,6Gg1gjgKi2AK4e0qzsR7sd,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,78.0,"[95, 89]",92.0,True,,,Juice WRLD  Bandit ft NBA Youngboy Directed by Cole Bennett.wav,191.0,"['chicago rap', 'melodic rap', 'baton rouge rap', 'trap']",0.474,0.631,5.0,-5.884,0.0,0.343,0.0687,0.0,0.132,0.425,180.051,4.0,Bandit.json
It's Beginning To Look A Lot Like Christmas,It's Beginning to Look a Lot like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,206639.0,5a1iz510sv2W9Dt1MvFd5R,spotify:track:5a1iz510sv2W9Dt1MvFd5R,https://open.spotify.com/track/5a1iz510sv2W9Dt1MvFd5R,59.0,[78],78.0,False,https://p.scdn.co/mp3-preview/e63ec1a7b235a23e07eba91092fc4b33b5ed7552?cid=064f7f00e33f41f2ba917f2f07083867,previews/Its Beginning To Look A Lot Like Christmas.wav,Perry Como  The Fontane Sisters   Its Beginning to Look a Lot Like Christmas      lyrics.wav,169.0,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",0.339,0.214,4.0,-11.714,1.0,0.0375,0.908,7.47e-06,0.341,0.363,94.775,3.0,Its Beginning To Look A Lot Like Christmas.json
Christmas (Baby Please Come Home),"Christmas (Baby Please Come Home) (feat. Scarlett Johansson, Taron Egerton, Reese Witherspoon & Tori Kelly)",Darlene Love,156080.0,48O5UiUC5CHYb7qnFLaHv0,spotify:track:48O5UiUC5CHYb7qnFLaHv0,https://open.spotify.com/track/48O5UiUC5CHYb7qnFLaHv0,59.0,"[60, 66, 70, 63, 73]",66.4,False,,,Christmas Baby Please Come Home  Darlene Love Lyrics.wav,161.0,"['dance pop', 'pop r&b', 'post-teen pop', 'r&b', 'hollywood', 'nyc pop', 'pop']",0.486,0.898,8.0,-4.788,1.0,0.0838,0.0161,7.66e-06,0.0896,0.308,133.985,4.0,Christmas Baby Please Come Home.json
Panini,Panini,Lil Nas X,114893.0,1000nHvUdawXuUHgBod4Wv,spotify:track:1000nHvUdawXuUHgBod4Wv,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,73.0,[89],89.0,False,https://p.scdn.co/mp3-preview/19b30906b6732616be9a634daafd0e2f45795918?cid=064f7f00e33f41f2ba917f2f07083867,previews/Panini.wav,Lil Nas X  Panini Official Video.wav,145.0,"['lgbtq+ hip hop', 'pop']",0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.123,0.475,153.848,4.0,Panini.json
Underneath The Tree,Underneath the Tree,Kelly Clarkson,229640.0,3YZE5qDV7u1ZD1gZc47ZeR,spotify:track:3YZE5qDV7u1ZD1gZc47ZeR,https://open.spotify.com/track/3YZE5qDV7u1ZD1gZc47ZeR,51.0,[77],77.0,False,https://p.scdn.co/mp3-preview/a74730e3ee63105bfa813194ba6ecb9924a1cffb?cid=064f7f00e33f41f2ba917f2f07083867,previews/Underneath The Tree.wav,Underneath The Tree  Kelly Clarkson.wav,231.0,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",0.509,0.812,8.0,-5.439,1.0,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,4.0,Underneath The Tree.json
Here Comes Santa Claus (Right Down Santa Claus Lane),Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,150266.0,25leEEaz1gIpp7o21Fqyjo,spotify:track:25leEEaz1gIpp7o21Fqyjo,https://open.spotify.com/track/25leEEaz1gIpp7o21Fqyjo,48.0,[45],45.0,False,https://p.scdn.co/mp3-preview/5f46e92cd3b4ef76b3d119b0d3291d94bc892f3f?cid=064f7f00e33f41f2ba917f2f07083867,previews/Here Comes Santa Claus Right Down Santa Claus Lane.wav,Gene Autry  Here Comes Santa Claus Right Down Santa Claus Lane lyrics.wav,164.0,"['adult standards', 'cowboy western', 'lounge', 'oklahoma country', 'traditional country', 'yodeling']",0.834,0.371,1.0,-11.99,1.0,0.0358,0.799,0.0,0.275,0.976,96.628,4.0,Here Comes Santa Claus Right Down Santa Claus Lane.json
Hot,hot girl bummer,Young Thug Featuring Gunna,188343.0,duplicate,spotify:track:6jRq8gaZhMUyy5RclRPcAf,https://open.spotify.com/track/6jRq8gaZhMUyy5RclRPcAf,83.0,[86],86.0,True,https://p.scdn.co/mp3-preview/76cac6d770918a90ad76978192215a3892d0f3d0?cid=064f7f00e33f41f2ba917f2f07083867,previews/Hot.wav,Young Thug  Hot ft Gunna LYRICS.wav,193.0,"['electropop', 'pop', 'pop rap']",0.782,0.559,6.0,-7.106,0.0,0.0767,0.125,0.0,0.385,0.685,129.992,1.0,Hot.json
Old Town Road,Old Town Road - Remix,Lil Nas X Featuring Billy Ray Cyrus,157066.0,2YpeDb67231RjR0MgVLzsG,spotify:track:2YpeDb67231RjR0MgVLzsG,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,81.0,"[89, 70]",79.5,False,https://p.scdn.co/mp3-preview/b1b4f28e5b4fc6791db78234435a20a7704c7774?cid=064f7f00e33f41f2ba917f2f07083867,previews/Old Town Road.wav,Lil Nas X  Old Town Road Official Video ft Billy Ray Cyrus.wav,157.0,"['lgbtq+ hip hop', 'pop', 'country', 'country rock']",0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road.json
Truth Hurts,Truth Hurts,Lizzo,173325.0,3HWzoMvoF3TQfYg4UPszDq,spotify:track:3HWzoMvoF3TQfYg4UPszDq,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq,76.0,[76],76.0,True,https://p.scdn.co/mp3-preview/facf34b23f9462b22b3e63486adbb8697edc9812?cid=064f7f00e33f41f2ba917f2f07083867,previews/Truth Hurts.wav,Truth Hurts  Lizzo Lyrics.wav,174.0,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,4.0,Truth Hurts.json
Run Rudolph Run,Run Rudolph Run - Single Version,Chuck Berry,165733.0,2pnPe4pJtq7689i5ydzvJJ,spotify:track:2pnPe4pJtq7689i5ydzvJJ,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ,55.0,[68],68.0,False,,,Chuck Berry  Run Rudolph Run Official Lyric Video.wav,165.0,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly']",0.681,0.715,7.0,-10.609,0.0,0.0912,0.812,9.43e-06,0.0777,0.957,152.132,4.0,Run Rudolph Run.json
(There's No Place Like) Home For The Holidays,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,178293.0,2GapxG7BxK55ihQRAlR39e,spotify:track:2GapxG7BxK55ihQRAlR39e,https://open.spotify.com/track/2GapxG7BxK55ihQRAlR39e,43.0,[60],60.0,False,https://p.scdn.co/mp3-preview/8e7c1cd9bfd8d7fcf0ce652619b09d8036a634cd?cid=064f7f00e33f41f2ba917f2f07083867,previews/Theres No Place Like Home For The Holidays.wav,Perry Como  Theres No Place Like Home for the Holidays Official Audio.wav,179.0,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",0.532,0.401,5.0,-10.629,1.0,0.0525,0.869,0.0,0.222,0.45,143.823,4.0,Theres No Place Like Home For The Holidays.json
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,175720.0,3eekarcy7kvN4yt5ZFzltW,spotify:track:3eekarcy7kvN4yt5ZFzltW,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,83.0,[92],92.0,True,https://p.scdn.co/mp3-preview/7a31c51e5690dc881150a189e0c29c0d18206729?cid=064f7f00e33f41f2ba917f2f07083867,previews/HIGHEST IN THE ROOM.wav,Travis Scott  HIGHEST IN THE ROOM Lyrics.wav,176.0,"['hip hop', 'rap', 'slap house']",0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4.0,HIGHEST IN THE ROOM.json
Heartless,Heartless,The Weeknd,211000.0,4EWCNWgDS8707fNSZ1oaA5,spotify:track:4EWCNWgDS8707fNSZ1oaA5,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,84.0,[96],96.0,False,,,The Weeknd  Heartless Lyrics.wav,195.0,"['chicago rap', 'rap']",0.79,0.647,10.0,-5.983,0.0,0.136,0.0515,0.0,0.248,0.654,87.999,4.0,Heartless.json
Blue Christmas,Blue Christmas,Elvis Presley,129173.0,3QiAAp20rPC3dcAtKtMaqQ,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ,54.0,[80],80.0,False,https://p.scdn.co/mp3-preview/5c7b79aefed9c3c55ba78d8f2a5734b42c2f7cec?cid=064f7f00e33f41f2ba917f2f07083867,previews/Blue Christmas.wav,Blue Christmas  Elvis Presley Lyrics.wav,136.0,"['adult standards', 'rock-and-roll', 'rockabilly']",0.465,0.27,4.0,-16.661,1.0,0.0425,0.9,0.00104,0.145,0.58,94.518,4.0,Blue Christmas.json
Everything I Wanted,everything i wanted,Billie Eilish,245425.0,3ZCTVFBt2Brf31RLEnCkWJ,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,82.0,[92],92.0,False,,,Billie Eilish  everything i wanted Lyrics.wav,242.0,"['art pop', 'electropop', 'pop']",0.704,0.225,6.0,-14.454,0.0,0.0994,0.902,0.657,0.106,0.243,120.006,4.0,Everything I Wanted.json
White Christmas,White Christmas,Bing Crosby,177480.0,4so0Wek9Ig1p6CRCHuINwW,spotify:track:4so0Wek9Ig1p6CRCHuINwW,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW,53.0,"[59, 42, 43]",48.0,False,,,White Christmas   Bing Crosby Lyrics.wav,187.0,"['adult standards', 'easy listening', 'lounge', 'light music']",0.317,0.158,9.0,-16.485,1.0,0.0381,0.673,0.353,0.338,0.247,130.503,3.0,White Christmas.json
Jingle Bells,Jingle Bells - Remastered 1999,Frank Sinatra,120693.0,4HEOgBHRCExyYVeTyrXsnL,spotify:track:4HEOgBHRCExyYVeTyrXsnL,https://open.spotify.com/track/4HEOgBHRCExyYVeTyrXsnL,49.0,[79],79.0,False,,,Frank Sinatra  Jingle Bells 🎄Lyrics.wav,129.0,"['adult standards', 'easy listening', 'lounge']",0.512,0.339,8.0,-13.119,1.0,0.0498,0.727,0.0,0.0977,0.951,174.609,4.0,Jingle Bells.json
Like It's Christmas,Like It's Christmas,Jonas Brothers,200880.0,6lTbBLXJtJ7Jzpsf21grnG,spotify:track:6lTbBLXJtJ7Jzpsf21grnG,https://open.spotify.com/track/6lTbBLXJtJ7Jzpsf21grnG,1.0,[80],80.0,False,,,Jonas Brothers  Like Its Christmas Official Lyric Video.wav,202.0,"['boy band', 'dance pop', 'pop', 'post-teen pop']",0.725,0.571,1.0,-6.007,1.0,0.103,0.0182,0.0,0.0519,0.609,146.035,4.0,Like Its Christmas.json
Baby It's Cold Outside,"Baby, It's Cold Outside",Dean Martin,143733.0,51yItMpgzdXWKYzyA8BKVp,spotify:track:51yItMpgzdXWKYzyA8BKVp,https://open.spotify.com/track/51yItMpgzdXWKYzyA8BKVp,0.0,[70],70.0,False,,,Dean Martin  Baby Its Cold Outside Lyric Video.wav,139.0,"['adult standards', 'easy listening', 'lounge']",0.439,0.196,0.0,-16.093,1.0,0.0601,0.88,0.0,0.0513,0.525,129.581,4.0,Baby Its Cold Outside.json
Trampoline,Trampoline,SHAED,184060.0,0lsRatBUs9HNIZAmoGABzk,spotify:track:0lsRatBUs9HNIZAmoGABzk,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,66.0,[66],66.0,False,,,SHAED  Trampoline Lyrics.wav,181.0,"['electropop', 'pop']",0.689,0.412,7.0,-7.523,0.0,0.0301,0.488,0.00016,0.0659,0.537,126.754,4.0,Trampoline.json
Woah,Woah,Lil Baby,183011.0,598yNsG1JFrGd4n2kMoz7F,spotify:track:598yNsG1JFrGd4n2kMoz7F,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,68.0,[93],93.0,True,,,Lil Baby  Woah LyricsLyric Video.wav,184.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",0.882,0.602,11.0,-5.554,1.0,0.245,0.0177,0.0,0.178,0.43,142.959,4.0,Woah.json
